10000
59VUT,MO,2017,Brown,Volvo
61HQI,NC,2017,Red,BMW
27NQN,NH,2021,Grey,BMW
23VJR,AK,2003,Gold,Honda
47FMI,NJ,2000,Orange,Porsche
49XTA,KS,2018,Orange,Porsche
33CAF,MS,2001,Orange,Chevrolet
80RRC,NE,2019,Green,Mitsubishi
33EXO,IL,2017,White,GMC
06HPH,NE,2002,Grey, Audi
36TES,OR,2000,White,Toyota
82ZEP,MD,2009,Orange,Volvo
24KLH,NY,2009,Black,Mitsubishi
29ZUO,OR,2011,Grey,Mercedes-Benz
06ASB,LA,2012,Red,Ram
29KDE,ME,2003,Blue,Alfa Romeo
15SYN,KY,2003,Gold,Mitsubishi
11BRL,TN,2013,Purple,Ram
83EKG,NJ,2010,Purple,Kia
48TKH,OR,2000,Yellow, Audi
71UAR,AZ,2003,Grey,Toyota
23UBR,NH,2000,Grey, Audi
81AXS,AZ,2021,Gold,GMC
08FEQ,NJ,2011,Blue,Nissan
30BIA,SC,2020,Orange,Volvo
28WEA,KY,2011,Green,Volvo
98CWT,NE,2017,Gold,Nissan
30HHL,OH,2002,Purple,Toyota
38ERK,MD,2012,Orange,Porsche
25MZT,OH,2020,White,Ram
66XJQ,DC,2004,Red,GMC
51OOV,NM,2021,Blue,Mitsubishi
07HML,RI,2016,Brown,Chrysler
05ETB,AZ,2009,Brown,Fiat
22RHN,IA,2011,Blue,GMC
91VKQ,SD,2003,Green, Audi
92WMN,DC,2014,Black,GMC
43DUZ,MT,2007,Black,Chrysler
94CLY,DC,2012,Yellow,Toyota
60RRB,MO,2004,Gold,Toyota
09PRO,NY,2005,Brown,Volvo
14YML,HI,2013,Yellow,Honda
36NJN,SC,2020,Red,Fiat
78ABH,TN,2010,Gold,BMW
51UOL,ME,2018,Purple,Chrysler
24DLM,MS,2007,White,Nissan
55GYQ,PA,2010,Gold,Mitsubishi
32BFL,TN,2020,White,Mitsubishi
62RQJ,ME,2015,Orange,BMW
81JHY,PA,2014,Purple,Toyota
93FQQ,ME,2010,Black,Toyota
48NNS,SD,2019,Black,Volvo
07IAT,PR,2006,Yellow,Mercedes-Benz
80TGF,IL,2013,Green,Ram
20TTI,IN,2013,Brown,Toyota
90AAZ,NE,2012,Purple,Fiat
83LNC,PA,2009,Gold,Nissan
16IEH,MD,2019,Purple,Fiat
45UDL,IA,2008,Orange,Mercedes-Benz
94QMF,NE,2002,Brown,Chrysler
55SSK,CO,2016,Yellow,Ram
