20000
51JOZ,NE,2015,Purple,Mercedes-Benz
15VLX,UT,2017,Green,Fiat
93XUH,VI,2007,Purple,Chevrolet
84VWQ,OR,2004,Blue,BMW
09DZN,MN,2020,Grey,BMW
02HMP,NJ,2013,Brown,Toyota
19AWB,VI,2005,Brown,Mitsubishi
59VSJ,GA,2018,Yellow,Chrysler
92NOF,AZ,2020,Red,Chrysler
58XCU,MS,2009,White,Chrysler
51DQJ,ND,2008,Red,Kia
34PMD,DC,2005,Black,Nissan
27QCU,LA,2014,Purple,Porsche
63ZLH,CO,2003,White,BMW
30BZR,NC,2020,Grey,Kia
05KXX,ID,2015,Orange,Mercedes-Benz
75CYH,HI,2020,Purple,Chrysler
16DMQ,SD,2008,Blue, Audi
13GCP,NJ,2006,Brown,Fiat
12MNH,CO,2004,Gold,Honda
10WXY,PA,2010,Yellow,Chevrolet
96IVH,AS,2002,Brown, Audi
51SWL,KS,2000,Blue,Chevrolet
27LSU,OR,2001,Gold,Volvo
86GKD,IN,2001,Red,Fiat
65RDG,ME,2009,Gold,Ram
87AAU,TN,2006,Grey,Nissan
53GBP,AL,2005,Grey,Porsche
63CDT,NJ,2004,Brown,Honda
74BSW,NJ,2018,Grey,Ram
78YWM,NC,2013,Purple,Nissan
51WGO,NV,2006,Grey,Mitsubishi
32JRS,FL,2018,Black,Honda
12KGD,NC,2009,Brown,BMW
41WBP,GU,2015,Gold,Toyota
01SUM,DC,2001,Green,Nissan
79YPR,RI,2010,Purple,Nissan
64YZR,AL,2011,Grey,Ram
27VTG,VI,2013,Orange,GMC
71XIL,DE,2003,Red,Fiat
71MPD,NM,2009,White,BMW
13SUT,NY,2015,Grey, Audi
20PDQ,GU,2007,Green,Porsche
33DAP,AK,2004,Brown,Fiat
64YBR,HI,2009,Yellow,Ram
46LYT,MS,2014,Gold,Chrysler
57ASP,VA,2006,Grey,Toyota
80NEG,NJ,2020,Blue,Toyota
40VSQ,TN,2006,Gold,Alfa Romeo
06RWM,RI,2015,Orange,Volvo
80UMG,GA,2006,Yellow,Mitsubishi
91VIU,NC,2015,Yellow,Honda
66DUO,IN,2005,Green,Mercedes-Benz
49CDM,GU,2010,Brown,Ram
05FYW,TN,2017,Orange,Fiat
03YFN,ID,2004,Green,Alfa Romeo
80ICQ,MT,2017,Blue,Toyota
42YWQ,MO,2012,Orange,Mitsubishi
18LJY,NV,2006,Purple,GMC
12PJC,NJ,2011,Purple,Chevrolet
03NQS,AZ,2015,White,Chrysler
75DEW,TN,2016,White, Audi
05TOU,ME,2017,Gold,GMC
14HTO,AS,2007,Blue,BMW
68EFW,CT,2009,Grey,Mitsubishi
07BCM,LA,2009,Grey,Mitsubishi
93JSA,MT,2003,White,Honda
46KSR,AZ,2005,Black,BMW
90RPH,MO,2012,Brown,Mitsubishi
28ANG,MS,2000,Green,Chrysler
28DKQ,PA,2018,Brown,Honda
76XBI,GA,2019,Blue,BMW
44KPF,IA,2016,Orange,Chrysler
54YOH,IN,2002,Black,Fiat
64WBX,IN,2013,Green, Audi
97TOD,AR,2010,Red,Honda
74CSF,UT,2008,Grey,Fiat
41ADP,MN,2007,Brown,Porsche
98OQD,UT,2001,Grey,Nissan
64CSO,ME,2007,Brown,Honda
36GSV,VA,2010,Purple,Mercedes-Benz
29TTK,OR,2017,White,BMW
08DIA,MT,2012,Black,Fiat
43IOE,IN,2007,Gold,Fiat
52ZUF,DC,2014,White,Volvo
07NMI,RI,2014,Red,Honda
30JUS,AK,2011,Brown,Honda
92PVX,HI,2010,Blue,Mercedes-Benz
94YQG,SC,2009,Yellow,Toyota
03YJE,AL,2003,Orange,GMC
55XMW,AL,2015,Purple,GMC
66MOZ,NM,2001,Gold,Fiat
04QDV,PA,2015,Blue,Ram
04WAN,NH,2010,Brown,Chrysler
51SHE,MI,2021,Blue,Ram
42ANT,CT,2019,Purple,Mitsubishi
14ZYI,NJ,2016,Red,Chrysler
94GHC,LA,2006,Blue,Chrysler
13WKZ,VI,2002,Green,Volvo
80TJA,VA,2014,Purple,Toyota
22ZOL,NC,2000,Brown,Nissan
25RJW,DC,2006,Green,Alfa Romeo
32CLD,MS,2002,Red,Kia
93LTK,VA,2016,Blue,GMC
64WLG,DE,2013,Brown,Toyota
02VDU,OH,2002,Green,Chevrolet
96HSE,NC,2013,Purple,GMC
61LRD,MT,2004,Purple, Audi
37DUK,NC,2017,Red,Volvo
06LRP,HI,2005,Gold,Honda
15QAS,IA,2009,White,Mercedes-Benz
50ZGA,CT,2021,Orange,Porsche
21KYS,SC,2015,White,Volvo
30DDZ,MI,2014,White,Fiat
58NKG,VI,2012,Purple,Mercedes-Benz
73CQQ,MT,2009,Purple,Volvo
